Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Close*,Adj Close**
6/15/2017,1263.20,1264.20,1250.30,1252.20,1252.20,743.00,gold,,
6/16/2017,1252.80,1255.30,1251.30,1254.00,1254.00,34.00,gold,,
6/19/2017,1252.10,1252.20,1241.90,1244.20,1244.20,108.00,gold,,
6/20/2017,1242.20,1245.50,1240.50,1241.00,1241.00,75.00,gold,,
6/21/2017,1244.10,1245.00,1240.00,1243.40,1243.40,205.00,gold,,
6/22/2017,1251.00,1252.70,1246.30,1247.60,1247.60,156.00,gold,,
6/23/2017,1250.00,1273.60,1249.80,1256.20,1256.20,269.00,gold,,
6/26/2017,1260.20,1260.20,1241.60,1246.30,1246.30,194.00,gold,,
6/27/2017,1251.60,1251.80,1245.90,1246.40,1246.40,111.00,gold,,
6/28/2017,1248.50,1248.50,1248.00,1248.00,1248.00,370.00,gold,,
6/29/2017,1248.20,1250.70,1238.10,1244.20,1244.20,540.00,gold,,
6/30/2017,1243.70,1243.70,1239.10,1240.70,1240.70,43.00,gold,,
7/3/2017,,,,,,,gold,,
7/5/2017,1222.50,1225.00,1217.10,1220.40,1220.40,40.00,gold,,
7/6/2017,1225.10,1225.10,1222.20,1222.20,1222.20,5.00,gold,,
7/7/2017,1219.10,1220.40,1208.60,1208.60,1208.60,116.00,gold,,
7/10/2017,1211.40,1212.10,1209.60,1212.10,1212.10,28.00,gold,,
7/11/2017,1208.70,1214.90,1208.70,1213.60,1213.60,12.00,gold,,
7/12/2017,1218.30,1219.40,1217.90,1218.10,1218.10,7.00,gold,,
7/13/2017,1221.40,1221.40,1216.30,1216.30,1216.30,7.00,gold,,
7/14/2017,1214.90,1227.50,1214.80,1226.60,1226.60,23.00,gold,,
7/17/2017,1229.90,1233.40,1229.90,1232.80,1232.80,7.00,gold,,
7/18/2017,1236.20,1241.20,1236.20,1241.10,1241.10,29.00,gold,,
7/19/2017,1240.40,1241.20,1240.10,1241.20,1241.20,3.00,gold,,
7/20/2017,1236.60,1244.80,1236.60,1244.80,1244.80,5.00,gold,,
7/21/2017,1250.70,1254.30,1250.50,1254.30,1254.30,16.00,gold,,
7/24/2017,1256.00,1256.00,1253.90,1253.90,1253.90,8.00,gold,,
7/25/2017,1252.70,1253.60,1249.20,1251.70,1251.70,18.00,gold,,
7/26/2017,1244.80,1249.00,1244.80,1249.00,1249.00,7.00,gold,,
7/27/2017,1259.60,1259.60,1259.60,1259.60,1259.60,220309.00,gold,,
7/28/2017,1258.40,1270.00,1256.90,1268.40,1268.40,64180.00,gold,,
7/31/2017,1268.90,1270.80,1265.80,1266.60,1266.60,7780.00,gold,,
8/1/2017,1268.40,1273.30,1262.00,1272.60,1272.60,1061.00,gold,,
8/2/2017,1268.50,1272.10,1262.90,1271.80,1271.80,393.00,gold,,
8/3/2017,1265.90,1269.80,1256.60,1267.80,1267.80,878.00,gold,,
8/4/2017,1269.00,1269.60,1253.90,1258.30,1258.30,521.00,gold,,
8/7/2017,1258.70,1259.10,1255.30,1258.20,1258.20,260.00,gold,,
8/8/2017,1256.90,1264.10,1251.40,1256.40,1256.40,555.00,gold,,
8/9/2017,1260.20,1277.80,1260.20,1273.00,1273.00,574.00,gold,,
8/10/2017,1276.60,1287.40,1274.90,1283.70,1283.70,608.00,gold,,
8/11/2017,1286.30,1291.10,1282.00,1287.70,1287.70,139.00,gold,,
8/14/2017,1288.40,1288.40,1278.80,1284.20,1284.20,338.00,gold,,
8/15/2017,1280.50,1280.50,1267.40,1273.70,1273.70,188.00,gold,,
8/16/2017,1271.30,1282.60,1269.40,1276.90,1276.90,110.00,gold,,
8/17/2017,1283.80,1288.50,1283.20,1286.40,1286.40,43.00,gold,,
8/18/2017,1288.60,1300.70,1284.30,1285.70,1285.70,358.00,gold,,
8/21/2017,1285.20,1290.80,1284.70,1290.80,1290.80,18.00,gold,,
8/22/2017,1287.20,1288.40,1283.20,1285.10,1285.10,100.00,gold,,
8/23/2017,1289.40,1289.40,1286.90,1288.90,1288.90,250.00,gold,,
8/24/2017,1288.70,1288.70,1284.00,1286.50,1286.50,550.00,gold,,
8/25/2017,1285.40,1292.70,1280.30,1292.50,1292.50,280.00,gold,,
8/28/2017,1293.50,1311.30,1293.50,1309.70,1309.70,145.00,gold,,
8/29/2017,1318.80,1323.80,1313.10,1313.10,1313.10,1178.00,gold,,
8/30/2017,1308.20,1312.50,1304.90,1308.10,1308.10,1178.00,gold,,
8/31/2017,1306.60,1322.30,1301.70,1316.20,1316.20,373.00,gold,,
9/1/2017,1320.20,1327.70,1316.90,1324.50,1324.50,313.00,gold,,
9/5/2017,1335.20,1339.20,1328.60,1339.20,1339.20,39.00,gold,,
9/6/2017,1340.00,1340.30,1332.60,1333.90,1333.90,20.00,gold,,
9/7/2017,1336.40,1349.00,1336.40,1345.10,1345.10,26.00,gold,,
9/8/2017,1351.00,1355.80,1345.60,1346.00,1346.00,37.00,gold,,
9/11/2017,1331.00,1331.00,1327.30,1331.00,1331.00,9.00,gold,,
9/12/2017,1327.00,1328.00,1325.20,1328.00,1328.00,15.00,gold,,
9/13/2017,1323.40,1323.40,1323.40,1323.40,1323.40,16.00,gold,,
9/14/2017,1319.60,1329.30,1319.60,1324.70,1324.70,316.00,gold,,
9/15/2017,1320.60,1321.20,1319.80,1320.40,1320.40,15.00,gold,,
9/18/2017,1309.80,1310.40,1306.00,1306.30,1306.30,129.00,gold,,
9/19/2017,1307.90,1310.30,1305.10,1306.20,1306.20,20.00,gold,,
9/20/2017,1312.00,1312.00,1298.70,1312.00,1312.00,12.00,gold,,
9/21/2017,1299.10,1304.10,1290.30,1290.60,1290.60,336.00,gold,,
9/22/2017,1295.00,1295.70,1293.30,1293.30,1293.30,209.00,gold,,
9/25/2017,1293.10,1309.20,1291.00,1306.80,1306.80,51.00,gold,,
9/26/2017,1304.50,1305.60,1297.00,1297.00,1297.00,39.00,gold,,
9/27/2017,1283.40,1283.40,1283.40,1283.40,1283.40,19488.00,gold,,
9/28/2017,1283.10,1288.00,1277.00,1285.50,1285.50,5226.00,gold,,
9/29/2017,1284.20,1289.40,1281.50,1281.50,1281.50,492.00,gold,,
10/2/2017,1275.00,1276.10,1270.40,1272.70,1272.70,136.00,gold,,
10/3/2017,1269.70,1273.30,1268.60,1271.50,1271.50,192.00,gold,,
10/4/2017,1273.80,1280.80,1270.00,1273.70,1273.70,218.00,gold,,
10/5/2017,1277.80,1277.80,1267.60,1269.90,1269.90,36.00,gold,,
10/6/2017,1267.60,1272.00,1260.50,1271.60,1271.60,46.00,gold,,
10/9/2017,1280.60,1284.00,1279.00,1281.80,1281.80,19.00,gold,,
10/10/2017,1282.60,1293.00,1281.70,1290.60,1290.60,18.00,gold,,
10/11/2017,1287.30,1292.00,1284.90,1285.80,1285.80,21.00,gold,,
10/12/2017,1291.50,1294.50,1289.30,1293.30,1293.30,14.00,gold,,
10/13/2017,1293.30,1301.70,1291.70,1301.50,1301.50,74.00,gold,,
10/16/2017,1302.00,1303.80,1291.90,1299.90,1299.90,173.00,gold,,
10/17/2017,1295.10,1295.10,1283.00,1283.00,1283.00,571.00,gold,,
10/18/2017,1279.90,1279.90,1279.90,1279.90,1279.90,163.00,gold,,
10/19/2017,1286.40,1286.90,1285.10,1286.90,1286.90,134.00,gold,,
10/20/2017,1279.60,1279.60,1277.40,1277.40,1277.40,304.00,gold,,
10/23/2017,1274.70,1280.80,1271.50,1277.70,1277.70,115.00,gold,,
10/24/2017,1275.50,1275.50,1273.70,1275.00,1275.00,111.00,gold,,
10/25/2017,1269.90,1275.40,1269.90,1275.40,1275.40,105.00,gold,,
10/26/2017,1273.50,1273.50,1264.70,1266.30,1266.30,39.00,gold,,
10/27/2017,1268.40,1268.50,1267.10,1268.50,1268.50,567.00,gold,,
10/30/2017,1270.00,1274.10,1267.90,1274.10,1274.10,222.00,gold,,
10/31/2017,1273.10,1274.60,1266.10,1267.00,1267.00,235.00,gold,,
11/1/2017,1272.20,1274.80,1270.30,1274.10,1274.10,78.00,gold,,
11/2/2017,1274.90,1274.90,1274.90,1274.90,1274.90,70.00,gold,,
11/3/2017,1265.30,1267.90,1265.30,1266.50,1266.50,75.00,gold,,
11/6/2017,1269.00,1280.50,1269.00,1279.40,1279.40,128.00,gold,,
11/7/2017,1276.80,1276.80,1270.40,1273.70,1273.70,11.00,gold,,
11/8/2017,1275.90,1284.90,1274.70,1281.60,1281.60,15.00,gold,,
11/9/2017,1279.70,1286.90,1279.70,1285.60,1285.60,18.00,gold,,
11/10/2017,1283.50,1283.50,1272.40,1272.40,1272.40,10.00,gold,,
11/13/2017,1277.30,1277.30,1277.00,1277.30,1277.30,3.00,gold,,
11/14/2017,1276.90,1281.50,1276.90,1281.50,1281.50,4.00,gold,,
11/15/2017,1281.40,1284.70,1275.90,1276.50,1276.50,13.00,gold,,
11/16/2017,1277.50,1277.50,1277.40,1277.40,1277.40,43.00,gold,,
11/17/2017,1288.30,1295.80,1288.30,1295.80,1295.80,1.00,gold,,
11/20/2017,1274.60,1275.90,1274.60,1274.60,1274.60,1.00,gold,,
11/21/2017,1281.10,1281.10,1281.10,1281.10,1281.10,4.00,gold,,
11/22/2017,1284.70,1291.60,1282.90,1291.60,1291.60,4.00,gold,,
11/24/2017,,,,,,,gold,,
11/27/2017,1293.80,1293.80,1293.80,1293.80,1293.80,1.00,gold,,
11/28/2017,1294.70,1294.70,1294.70,1294.70,1294.70,275442.00,gold,,
11/29/2017,1293.40,1296.20,1281.10,1282.10,1282.10,47244.00,gold,,
11/30/2017,1283.10,1284.50,1269.70,1273.20,1273.20,3049.00,gold,,
12/1/2017,1274.10,1288.60,1271.00,1278.80,1278.80,823.00,gold,,
12/4/2017,1272.50,1276.10,1270.30,1274.30,1274.30,850.00,gold,,
12/5/2017,1275.40,1275.80,1260.00,1261.60,1261.60,1499.00,gold,,
12/6/2017,1264.90,1267.80,1261.60,1262.80,1262.80,373.00,gold,,
12/7/2017,1262.30,1262.40,1243.90,1249.80,1249.80,358.00,gold,,
12/8/2017,1246.30,1249.30,1241.50,1245.20,1245.20,157.00,gold,,
12/11/2017,1248.40,1249.20,1239.90,1243.70,1243.70,146.00,gold,,
12/12/2017,1241.30,1244.40,1236.50,1238.50,1238.50,692.00,gold,,
12/13/2017,1241.90,1254.50,1239.80,1245.40,1245.40,349.00,gold,,
12/14/2017,1252.90,1257.70,1250.30,1253.80,1253.80,139.00,gold,,
12/15/2017,1253.10,1260.30,1253.10,1254.30,1254.30,578.00,gold,,
12/18/2017,1256.20,1262.40,1255.70,1262.20,1262.20,45.00,gold,,
12/19/2017,1261.10,1264.30,1259.50,1260.70,1260.70,329.00,gold,,
12/20/2017,1261.30,1266.60,1261.30,1266.10,1266.10,63.00,gold,,
12/21/2017,1266.40,1267.40,1264.30,1267.30,1267.30,226.00,gold,,
12/22/2017,1266.30,1276.30,1266.30,1275.40,1275.40,119.00,gold,,
12/26/2017,1282.40,1284.10,1281.80,1284.10,1284.10,84.00,gold,,
12/27/2017,1284.00,1287.00,1284.00,1287.00,1287.00,456.00,gold,,
12/28/2017,1288.20,1294.10,1288.20,1294.10,1294.10,245.00,gold,,
12/29/2017,1294.20,1306.30,1294.00,1306.30,1306.30,65.00,gold,,
1/2/2018,1302.30,1317.60,1302.30,1313.70,1313.70,68.00,gold,,
1/3/2018,1320.00,1320.10,1312.10,1316.20,1316.20,42.00,gold,,
1/4/2018,1319.40,1322.00,1319.40,1319.40,1319.40,2.00,gold,,
1/5/2018,1320.30,1320.30,1320.30,1320.30,1320.30,1.00,gold,,
1/8/2018,1319.90,1319.90,1314.60,1318.60,1318.60,41.00,gold,,
1/9/2018,1309.60,1311.70,1309.60,1311.70,1311.70,16.00,gold,,
1/10/2018,1320.30,1320.70,1315.30,1317.40,1317.40,70.00,gold,,
1/11/2018,1317.10,1320.60,1316.30,1320.60,1320.60,9.00,gold,,
1/12/2018,1327.80,1338.20,1327.80,1333.40,1333.40,14.00,gold,,
1/16/2018,1331.10,1335.40,1331.00,1335.40,1335.40,13.00,gold,,
1/17/2018,1334.40,1338.00,1326.80,1338.00,1338.00,27.00,gold,,
1/18/2018,1328.90,1328.90,1326.00,1326.00,1326.00,211.00,gold,,
1/19/2018,1330.10,1333.00,1330.10,1331.90,1331.90,50.00,gold,,
1/22/2018,1328.40,1330.90,1328.40,1330.90,1330.90,162.00,gold,,
1/23/2018,1335.80,1335.90,1335.70,1335.70,1335.70,47.00,gold,,
1/24/2018,1355.90,1357.20,1355.90,1355.90,1355.90,18.00,gold,,
1/25/2018,1356.30,1362.40,1346.70,1362.40,1362.40,4.00,gold,,
1/26/2018,1351.60,1352.00,1350.90,1351.60,1351.60,280546.00,gold,,
1/29/2018,,,,,,,gold,,
1/30/2018,1338.70,1347.80,1332.80,1335.40,1335.40,52100.00,gold,,
1/31/2018,1337.50,1346.90,1331.80,1339.00,1339.00,4881.00,gold,,
2/1/2018,1343.80,1350.60,1336.80,1344.30,1344.30,1680.00,gold,,
2/2/2018,1348.50,1352.10,1327.70,1333.70,1333.70,2841.00,gold,,
2/5/2018,1331.10,1340.20,1329.00,1333.00,1333.00,641.00,gold,,
2/6/2018,1338.20,1343.70,1319.50,1326.10,1326.10,529.00,gold,,
2/7/2018,1325.40,1331.10,1310.50,1311.60,1311.60,491.00,gold,,
2/8/2018,1317.10,1321.10,1307.00,1316.90,1316.90,459.00,gold,,
2/9/2018,1320.90,1322.00,1311.90,1313.10,1313.10,451.00,gold,,
