city_name,country,date,latitude,longitude,temp,humidity,cloudiness,wind_speed
Paamiut,GL,1612788757,61.994,-49.6678,29.35,83,1,11.92
Abadan,TM,1612788757,38.0507,58.2056,50.0,71,90,2.3
Santo Antônio do Içá,BR,1612788757,-3.1022,-67.9397,78.46,91,100,2.3
Hualmay,PE,1612788758,-11.0964,-77.6139,72.46,73,89,4.88
Pilar,BR,1612788593,-9.5972,-35.9567,84.2,65,75,9.22
Lichtenburg,ZA,1612788758,-26.152,26.1597,78.49,48,84,0.69
Olinda,BR,1612788788,-8.0089,-34.8553,82.4,61,40,10.36
Belmonte,BR,1612788730,-15.8631,-38.8828,82.4,69,40,19.57
Ponta Delgada,PT,1612788682,37.7333,-25.6667,62.01,82,75,21.85
Dillon,US,1612788789,34.4166,-79.3712,37.99,100,1,4.61
Ayan,RU,1612788789,56.45,138.1667,-4.31,82,100,19.6
Yantarnyy,RU,1612788789,54.8717,19.9381,15.8,67,0,22.37
Luorong,CN,1612788789,24.4058,109.6086,59.61,67,64,13.0
Jumla,NP,1612788789,29.2747,82.1838,42.44,57,0,3.31
Sühbaatar,MN,1612788789,50.2314,106.2078,2.62,90,14,2.84
Sioux Lookout,CA,1612788790,50.1001,-91.917,-29.2,68,1,6.91
Ulagan,RU,1612788790,50.6321,87.9563,20.5,86,29,7.34
Diu,IN,1612788790,20.7141,70.9822,75.56,47,0,5.37
Monywa,MM,1612788790,22.1167,95.1333,72.05,36,0,1.7
Nhulunbuy,AU,1612788790,-12.2333,136.7667,78.8,94,75,9.22
Opuwo,NA,1612788790,-18.0607,13.84,90.73,22,100,5.26
Basco,PH,1612788790,20.4487,121.9702,73.36,79,100,28.61
Kautokeino,NO,1612788790,69.0125,23.0412,7.43,91,2,4.81
Muroto-misakicho,JP,1612788791,33.2833,134.15,45.57,61,0,23.06
Santarém,BR,1612788777,-2.4431,-54.7083,80.6,83,75,6.91
Omboué,GA,1612788791,-1.5746,9.2618,82.98,77,100,6.91
Ketchikan,US,1612788791,55.3422,-131.6461,28.4,54,90,4.61
Dunedin,NZ,1612788791,-45.8742,170.5036,61.0,92,54,1.99
Bowen,AU,1612788791,-20.0167,148.2333,82.4,89,100,1.14
Lincoln,US,1612788561,40.8,-96.667,-2.0,84,100,1.01
Yangambi,CD,1612788792,0.8102,24.4336,95.16,20,40,3.67
