Date,Open,High,Low,Close,Adj Close,Volume
2019-06-05,97.12,97.37,96.75,97.37,97.37,0.0
2019-06-06,97.29,97.35,96.78,97.03,97.03,0.0
2019-06-07,97.01,97.18,96.46,96.61,96.61,0.0
2019-06-10,96.65,96.94,96.63,96.76,96.76,0.0
2019-06-11,96.75,96.88,96.64,96.69,96.69,0.0
2019-06-12,96.71,97.02,96.58,97.0,97.0,0.0
2019-06-13,96.96,97.08,96.87,97.01,97.01,0.0
2019-06-14,97.01,97.58,96.94,97.57,97.57,0.0
2019-06-17,97.52,97.6,97.34,97.56,97.56,0.0
2019-06-18,97.53,97.77,97.37,97.64,97.64,0.0
2019-06-19,97.63,97.68,97.09,97.12,97.12,0.0
2019-06-20,97.18,97.2,96.57,96.63,96.63,0.0
2019-06-21,96.62,96.71,96.15,96.22,96.22,0.0
2019-06-24,96.18,96.2,95.97,95.98,95.98,0.0
2019-06-25,96.0,96.36,95.84,96.16,96.16,0.0
2019-06-26,96.18,96.34,96.07,96.21,96.21,0.0
2019-06-27,96.18,96.39,96.14,96.19,96.19,0.0
2019-06-28,96.19,96.3,96.02,96.13,96.13,0.0
2019-07-01,96.25,96.87,96.25,96.84,96.84,0.0
2019-07-02,96.81,96.88,96.6,96.73,96.73,0.0
2019-07-05,96.72,97.44,96.72,97.25,97.25,0.0
2019-07-08,97.23,97.42,97.16,97.38,97.38,0.0
2019-07-09,97.38,97.59,97.36,97.49,97.49,0.0
2019-07-10,97.51,97.55,97.04,97.1,97.1,0.0
2019-07-11,97.06,97.15,96.8,97.05,97.05,0.0
2019-07-12,97.08,97.12,96.79,96.81,96.81,0.0
2019-07-15,96.84,96.97,96.75,96.93,96.93,0.0
2019-07-16,96.92,97.44,96.92,97.4,97.4,0.0
2019-07-17,97.36,97.44,97.16,97.22,97.22,0.0
2019-07-18,97.2,97.26,96.67,96.79,96.79,0.0
2019-07-19,96.82,97.29,96.76,97.15,97.15,0.0
2019-07-22,97.15,97.3,97.13,97.26,97.26,0.0
2019-07-23,97.3,97.74,97.3,97.71,97.71,0.0
2019-07-24,97.72,97.81,97.55,97.73,97.73,0.0
2019-07-25,97.69,97.92,97.5,97.82,97.82,0.0
2019-07-26,97.79,98.09,97.76,98.01,98.01,0.0
2019-07-29,97.99,98.17,97.9,98.04,98.04,0.0
2019-07-30,98.07,98.21,98.02,98.05,98.05,0.0
2019-07-31,98.03,98.68,98.01,98.52,98.52,0.0
2019-08-01,98.59,98.93,98.27,98.39,98.39,0.0
2019-08-02,98.41,98.45,98.05,98.1,98.1,0.0
2019-08-05,98.11,98.14,97.42,97.5,97.5,0.0
2019-08-06,97.25,97.77,97.21,97.63,97.63,0.0
2019-08-07,97.56,97.85,97.31,97.54,97.54,0.0
2019-08-08,97.6,97.74,97.43,97.62,97.62,0.0
2019-08-09,97.57,97.64,97.36,97.49,97.49,0.0
2019-08-12,97.54,97.74,97.32,97.38,97.38,0.0
2019-08-13,97.48,97.85,97.32,97.81,97.81,0.0
2019-08-14,97.8,98.05,97.67,97.99,97.99,0.0
2019-08-15,97.95,98.24,97.82,98.14,98.14,0.0
2019-08-16,98.13,98.34,98.11,98.14,98.14,0.0
2019-08-19,98.17,98.39,98.13,98.35,98.35,0.0
2019-08-20,98.36,98.45,98.12,98.19,98.19,0.0
2019-08-21,98.17,98.33,97.95,98.3,98.3,0.0
2019-08-22,98.25,98.39,98.08,98.17,98.17,0.0
2019-08-23,98.19,98.45,97.59,97.64,97.64,0.0
2019-08-26,97.59,98.09,97.48,98.08,98.08,0.0
2019-08-27,98.05,98.05,97.86,98.0,98.0,0.0
2019-08-28,98.01,98.26,98.0,98.21,98.21,0.0
2019-08-29,98.19,98.55,98.16,98.51,98.51,0.0
2019-08-30,98.43,99.02,98.41,98.92,98.92,0.0
2019-09-03,99.08,99.37,98.92,98.95,98.95,0.0
2019-09-04,98.96,98.97,98.39,98.45,98.45,0.0
2019-09-05,98.4,98.54,98.09,98.41,98.41,0.0
2019-09-06,98.42,98.52,98.01,98.39,98.39,0.0
2019-09-09,98.42,98.51,98.14,98.28,98.28,0.0
2019-09-10,98.33,98.46,98.26,98.33,98.33,0.0
2019-09-11,98.33,98.75,97.86,98.65,98.65,0.0
2019-09-12,98.63,99.1,98.19,98.31,98.31,0.0
2019-09-13,98.41,98.43,98.0,98.26,98.26,0.0
2019-09-16,98.12,98.71,98.03,98.65,98.65,0.0
2019-09-17,98.65,98.74,98.19,98.26,98.26,0.0
2019-09-18,98.21,98.69,98.19,98.6,98.6,0.0
2019-09-19,98.57,98.62,98.2,98.27,98.27,0.0
2019-09-20,98.34,98.64,98.14,98.51,98.51,0.0
2019-09-23,98.51,98.83,98.45,98.6,98.6,0.0
2019-09-24,98.64,98.71,98.29,98.34,98.34,0.0
2019-09-25,98.38,99.06,98.36,99.04,99.04,0.0
2019-09-26,98.96,99.28,98.84,99.21,99.21,0.0
2019-09-27,99.19,99.31,98.99,99.11,99.11,0.0
2019-09-30,99.12,99.46,99.05,99.38,99.38,0.0
2019-10-01,99.4,99.67,99.07,99.13,99.13,0.0
2019-10-02,99.16,99.42,98.96,99.04,99.04,0.0
2019-10-03,99.03,99.19,98.64,98.86,98.86,0.0
2019-10-04,98.87,99.0,98.74,98.81,98.81,0.0
2019-10-07,98.82,99.01,98.74,98.99,98.99,0.0
2019-10-08,98.98,99.25,98.85,99.14,99.14,0.0
2019-10-09,99.09,99.16,98.9,99.12,99.12,0.0
2019-10-10,98.98,99.07,98.62,98.71,98.71,0.0
2019-10-11,98.7,98.74,98.2,98.3,98.3,0.0
2019-10-14,98.36,98.53,98.34,98.45,98.45,0.0
2019-10-15,98.45,98.65,98.21,98.29,98.29,0.0
2019-10-16,98.32,98.42,97.9,98.01,98.01,0.0
2019-10-17,97.99,98.11,97.5,97.61,97.61,0.0
2019-10-18,97.6,97.66,97.14,97.28,97.28,0.0
2019-10-21,97.34,97.4,97.15,97.33,97.33,0.0
2019-10-22,97.31,97.57,97.26,97.53,97.53,0.0
2019-10-23,97.49,97.65,97.42,97.47,97.47,0.0
2019-10-24,97.46,97.78,97.28,97.63,97.63,0.0
2019-10-25,97.69,97.9,97.57,97.83,97.83,0.0
2019-10-28,97.85,97.89,97.67,97.76,97.76,0.0
2019-10-29,97.76,97.93,97.61,97.69,97.69,0.0
2019-10-30,97.67,98.0,97.45,97.65,97.65,0.0
2019-10-31,97.44,97.45,97.22,97.35,97.35,0.0
2019-11-01,97.3,97.45,97.11,97.24,97.24,0.0
2019-11-04,97.22,97.58,97.17,97.51,97.51,0.0
2019-11-05,97.55,98.01,97.47,97.98,97.98,0.0
2019-11-06,97.94,97.98,97.78,97.95,97.95,0.0
2019-11-07,97.95,98.23,97.82,98.14,98.14,0.0
2019-11-08,98.14,98.4,98.1,98.35,98.35,0.0
2019-11-11,98.37,98.38,98.13,98.2,98.2,0.0
2019-11-12,98.21,98.42,98.21,98.31,98.31,0.0
2019-11-13,98.33,98.45,98.29,98.37,98.37,0.0
2019-11-14,98.34,98.42,98.11,98.16,98.16,0.0
2019-11-15,98.17,98.23,97.96,98.0,98.0,0.0
2019-11-18,97.98,97.98,97.68,97.79,97.79,0.0
2019-11-19,97.81,97.89,97.75,97.86,97.86,0.0
2019-11-20,97.85,98.04,97.85,97.93,97.93,0.0
2019-11-21,97.86,98.03,97.73,97.99,97.99,0.0
2019-11-22,97.93,98.31,97.84,98.27,98.27,0.0
2019-11-25,98.27,98.38,98.17,98.32,98.32,0.0
2019-11-26,98.33,98.38,98.23,98.25,98.25,0.0
2019-11-27,98.3,98.44,98.28,98.41,98.41,0.0
2019-12-02,98.27,98.38,97.81,97.86,97.86,0.0
2019-12-03,97.89,97.94,97.64,97.74,97.74,0.0
2019-12-04,97.71,97.79,97.43,97.65,97.65,0.0
2019-12-05,97.59,97.6,97.36,97.41,97.41,0.0
2019-12-06,97.38,97.84,97.36,97.7,97.7,0.0
